LOST DUTCHMAN'S - STANTON CAMP SITE MASTER UPDATE,,,,,,,
,,,,,,,
,,,,,,,
,,,,LDMA Member,,,Non-Member
CAMP,Site #,Special Type,Site Type,Monthly Rate,Daily Rate,,Daily Rate
Stanton,95,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,96,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,97,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,98,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,99,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,100,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,101,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,102,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,103,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,104,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,105,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,106,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,107,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,108,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,109,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,110,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,111,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,112,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,113,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,114,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,115,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,116,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,117,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,118,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,119,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,120,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,121,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,122,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,123,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,124,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,125,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,126,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,127,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,128,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,129,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,130,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,132,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,500,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,501,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,502,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,503,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,504,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,505,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,506,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,507,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,508,,30 Amp - Elec Only,$340 ,$14 ,,$30 
Stanton,A-01,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-02,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-03,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-04,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-05,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-06,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-07,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-08,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-09,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-10,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-11,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-12,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-13,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-14,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-15,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-16,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-17,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-18,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-19,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-20,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-21,,Dry Camping,$150 ,$6 ,,$15 
