LOST DUTCHMAN'S - STANTON CAMP SITE MASTER UPDATE,,,,,,,
,,,,,,,
,,,,,,,
,,,,LDMA Member,,,Non-Member
CAMP,Site #,Special Type,Site Type,Monthly Rate,Daily Rate,,Daily Rate
Stanton,A-22,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-23,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-24,,Dry Camping,$150 ,$6 ,,$15 
Stanton,A-25,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-01,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-02,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-03,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-04,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-05,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-06,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-07,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-08,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-09,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-10,,Dry Camping,$150 ,$6 ,,$15 
Stanton,T-11,,Dry Camping,$150 ,$6 ,,$15 
