camp_slug,camp_name,site_code,special_type,site_type,member_rate_monthly,member_rate_daily,non_member_rate_daily,sort_order
duisenburg-california,Duisenburg,D33,,Dry Camping,150,6,15,122
duisenburg-california,Duisenburg,D34,,Dry Camping,150,6,15,123
duisenburg-california,Duisenburg,D35,,Dry Camping,150,6,15,124
italian-bar-california,Italian Bar,D1,,Dry Camping,150,6,15,125
italian-bar-california,Italian Bar,D2,,Dry Camping,150,6,15,126
italian-bar-california,Italian Bar,D3,,Dry Camping,150,6,15,127
italian-bar-california,Italian Bar,D4,,Dry Camping,150,6,15,128
italian-bar-california,Italian Bar,D5,,Dry Camping,150,6,15,129
italian-bar-california,Italian Bar,D6,,Dry Camping,150,6,15,130
italian-bar-california,Italian Bar,D7,,Dry Camping,150,6,15,131
italian-bar-california,Italian Bar,D8,,Dry Camping,150,6,15,132
italian-bar-california,Italian Bar,D9,,Dry Camping,150,6,15,133
italian-bar-california,Italian Bar,D10,,Dry Camping,150,6,15,134
italian-bar-california,Italian Bar,D11,,Dry Camping,150,6,15,135
italian-bar-california,Italian Bar,D12,,Dry Camping,150,6,15,136
italian-bar-california,Italian Bar,D13,,Dry Camping,150,6,15,137
italian-bar-california,Italian Bar,D14,,Dry Camping,150,6,15,138
italian-bar-california,Italian Bar,D15,,Dry Camping,150,6,15,139
italian-bar-california,Italian Bar,D16,,Dry Camping,150,6,15,140
italian-bar-california,Italian Bar,D17,,Dry Camping,150,6,15,141
italian-bar-california,Italian Bar,D18,,Dry Camping,150,6,15,142
italian-bar-california,Italian Bar,D19,,Dry Camping,150,6,15,143
italian-bar-california,Italian Bar,D20,,Dry Camping,150,6,15,144
italian-bar-california,Italian Bar,D21,,Dry Camping,150,6,15,145
italian-bar-california,Italian Bar,D22,,Dry Camping,150,6,15,146
italian-bar-california,Italian Bar,D23,,Dry Camping,150,6,15,147
italian-bar-california,Italian Bar,D24,,Dry Camping,150,6,15,148
italian-bar-california,Italian Bar,D25,,Dry Camping,150,6,15,149
italian-bar-california,Italian Bar,D26,,Dry Camping,150,6,15,150
italian-bar-california,Italian Bar,D27,,Dry Camping,150,6,15,151
italian-bar-california,Italian Bar,D28,,Dry Camping,150,6,15,152
italian-bar-california,Italian Bar,D29,,Dry Camping,150,6,15,153
italian-bar-california,Italian Bar,D30,,Dry Camping,150,6,15,154
italian-bar-california,Italian Bar,1,,Dry Camping w/ Water,150,8,17,155
italian-bar-california,Italian Bar,2,,Dry Camping w/ Water,150,8,17,156
italian-bar-california,Italian Bar,3,,Dry Camping w/ Water,150,8,17,157
italian-bar-california,Italian Bar,4,,Dry Camping w/ Water,150,8,17,158
italian-bar-california,Italian Bar,5,,Dry Camping w/ Water,150,8,17,159
italian-bar-california,Italian Bar,6,,Dry Camping w/ Water,150,8,17,160
italian-bar-california,Italian Bar,7,,Dry Camping w/ Water,150,8,17,161
italian-bar-california,Italian Bar,8,,Dry Camping w/ Water,150,8,17,162
italian-bar-california,Italian Bar,9,,Dry Camping w/ Water,150,8,17,163
italian-bar-california,Italian Bar,10,,Dry Camping w/ Water,150,8,17,164
italian-bar-california,Italian Bar,11,,Dry Camping w/ Water,150,8,17,165
italian-bar-california,Italian Bar,12,,Dry Camping w/ Water,150,8,17,166
italian-bar-california,Italian Bar,13,,Dry Camping w/ Water,150,8,17,167
italian-bar-california,Italian Bar,14,,Dry Camping w/ Water,150,8,17,168
italian-bar-california,Italian Bar,15,,Dry Camping w/ Water,150,8,17,169
italian-bar-california,Italian Bar,16,,Dry Camping w/ Water,150,8,17,170
italian-bar-california,Italian Bar,17,,Dry Camping w/ Water,150,8,17,171
italian-bar-california,Italian Bar,18,,Dry Camping w/ Water,150,8,17,172
italian-bar-california,Italian Bar,19,,Dry Camping w/ Water,150,8,17,173
italian-bar-california,Italian Bar,20,,Dry Camping w/ Water,150,8,17,174
italian-bar-california,Italian Bar,21,,Dry Camping w/ Water,150,8,17,175
italian-bar-california,Italian Bar,22,,Dry Camping w/ Water,150,8,17,176
italian-bar-california,Italian Bar,23,,Dry Camping w/ Water,150,8,17,177
italian-bar-california,Italian Bar,24,,Dry Camping w/ Water,150,8,17,178
italian-bar-california,Italian Bar,25,,Dry Camping w/ Water,150,8,17,179
italian-bar-california,Italian Bar,26,,Dry Camping w/ Water,150,8,17,180
italian-bar-california,Italian Bar,27,,Dry Camping w/ Water,150,8,17,181
italian-bar-california,Italian Bar,28,,Dry Camping w/ Water,150,8,17,182
italian-bar-california,Italian Bar,29,,Dry Camping w/ Water,150,8,17,183
italian-bar-california,Italian Bar,30,,Dry Camping w/ Water,150,8,17,184
italian-bar-california,Italian Bar,31,,Dry Camping w/ Water,150,8,17,185
italian-bar-california,Italian Bar,32,,Dry Camping w/ Water,150,8,17,186
italian-bar-california,Italian Bar,33,,Dry Camping w/ Water,150,8,17,187
italian-bar-california,Italian Bar,34,,Dry Camping w/ Water,150,8,17,188
italian-bar-california,Italian Bar,35,,Dry Camping w/ Water,150,8,17,189
stanton-arizona,Stanton,1,Premium,30 Amp - Full Hook-Up,510,19,45,190
stanton-arizona,Stanton,2,Premium,30 Amp - Full Hook-Up,510,19,45,191
stanton-arizona,Stanton,3,Premium,30 Amp - Full Hook-Up,510,19,45,192
stanton-arizona,Stanton,4,Premium,30 Amp - Full Hook-Up,510,19,45,193
stanton-arizona,Stanton,5,,30 Amp - Full Hook-Up,450,17,45,194
stanton-arizona,Stanton,6,,30 Amp - Full Hook-Up,450,17,45,195
stanton-arizona,Stanton,7,,30 Amp - Full Hook-Up,450,17,45,196
stanton-arizona,Stanton,8,,30 Amp - Full Hook-Up,450,17,45,197
stanton-arizona,Stanton,9,,50 Amp - Full Hook-Up,540,20,55,198
stanton-arizona,Stanton,10,,30 Amp - Full Hook-Up,450,17,45,199
stanton-arizona,Stanton,11,,30 Amp - Full Hook-Up,450,17,45,200
stanton-arizona,Stanton,12,Premium,30 Amp - Full Hook-Up,510,19,45,201
stanton-arizona,Stanton,13,,30 Amp - Full Hook-Up,450,17,45,202
stanton-arizona,Stanton,14,Premium,30 Amp - Full Hook-Up,510,19,45,203
stanton-arizona,Stanton,15,,30 Amp - Full Hook-Up,450,17,45,204
stanton-arizona,Stanton,16,Premium,30 Amp - Full Hook-Up,510,19,45,205
stanton-arizona,Stanton,17,,30 Amp - Full Hook-Up,450,17,45,206
stanton-arizona,Stanton,18,Premium,30 Amp - Full Hook-Up,510,19,45,207
stanton-arizona,Stanton,19,Premium,30 Amp - Full Hook-Up,510,19,45,208
stanton-arizona,Stanton,20,Premium,30 Amp - Full Hook-Up,510,19,45,209
stanton-arizona,Stanton,21,Premium,30 Amp - Full Hook-Up,510,19,45,210
stanton-arizona,Stanton,22,Premium,30 Amp - Full Hook-Up,510,19,45,211
stanton-arizona,Stanton,23,Premium,30 Amp - Full Hook-Up,510,19,45,212
stanton-arizona,Stanton,24,Premium,30 Amp - Full Hook-Up,510,19,45,213
stanton-arizona,Stanton,25,,30 Amp - Full Hook-Up,510,19,45,214
stanton-arizona,Stanton,26,,30 Amp - Full Hook-Up,510,19,45,215
stanton-arizona,Stanton,27,,30 Amp - Full Hook-Up,510,19,45,216
stanton-arizona,Stanton,28,,30 Amp - Full Hook-Up,510,19,45,217
stanton-arizona,Stanton,29,Premium,50 Amp - Full Hook-Up,600,22,55,218
stanton-arizona,Stanton,30,,30 Amp - Full Hook-Up,510,19,45,219
stanton-arizona,Stanton,31,,30 Amp - Full Hook-Up,510,19,45,220
stanton-arizona,Stanton,32,,50 Amp - Full Hook-Up,540,20,55,221
stanton-arizona,Stanton,33,,50 Amp - Full Hook-Up,540,20,55,222
stanton-arizona,Stanton,35,,30 Amp - Full Hook-Up,510,19,45,223
stanton-arizona,Stanton,36,,30 Amp - Full Hook-Up,510,19,45,224
stanton-arizona,Stanton,37,,30 Amp - Full Hook-Up,510,19,45,225
stanton-arizona,Stanton,38,,30 Amp - Full Hook-Up,510,19,45,226
stanton-arizona,Stanton,39,,30 Amp - Full Hook-Up,510,19,45,227
stanton-arizona,Stanton,40,,30 Amp - Full Hook-Up,510,19,45,228
stanton-arizona,Stanton,41,,30 Amp - Full Hook-Up,510,19,45,229
stanton-arizona,Stanton,42,,30 Amp - Full Hook-Up,510,19,45,230
stanton-arizona,Stanton,43,,30 Amp - Full Hook-Up,510,19,45,231
stanton-arizona,Stanton,44,,30 Amp - Full Hook-Up,510,19,45,232
stanton-arizona,Stanton,45,,30 Amp - Full Hook-Up,510,19,45,233
stanton-arizona,Stanton,46,,30 Amp - Full Hook-Up,510,19,45,234
stanton-arizona,Stanton,47,,30 Amp - Full Hook-Up,510,19,45,235
stanton-arizona,Stanton,48,,30 Amp - Full Hook-Up,510,19,45,236
stanton-arizona,Stanton,49,,30 Amp - Full Hook-Up,510,19,45,237
stanton-arizona,Stanton,50,,30 Amp - Full Hook-Up,510,19,45,238
stanton-arizona,Stanton,51,,30 Amp - Full Hook-Up,510,19,45,239
stanton-arizona,Stanton,52,,30 Amp - Full Hook-Up,510,19,45,240
stanton-arizona,Stanton,53,,30 Amp - Full Hook-Up,510,19,45,241
stanton-arizona,Stanton,54,,30 Amp - Full Hook-Up,510,19,45,242
stanton-arizona,Stanton,55,Premium,50 Amp - Full Hook-Up,600,22,55,243
stanton-arizona,Stanton,56,,30 Amp - Full Hook-Up,510,19,45,244
stanton-arizona,Stanton,57,Premium,30 Amp - Full Hook-Up,510,19,45,245
stanton-arizona,Stanton,58,Premium,30 Amp - Full Hook-Up,510,19,45,246
stanton-arizona,Stanton,59,,30 Amp - Full Hook-Up,510,19,45,247
stanton-arizona,Stanton,60,,30 Amp - Full Hook-Up,510,19,45,248
stanton-arizona,Stanton,61,,30 Amp - Full Hook-Up,510,19,45,249
stanton-arizona,Stanton,62,,30 Amp - Full Hook-Up,510,19,45,250
stanton-arizona,Stanton,63,,30 Amp - Full Hook-Up,510,19,45,251
stanton-arizona,Stanton,64,,30 Amp - Full Hook-Up,510,19,45,252
stanton-arizona,Stanton,65,,30 Amp - Full Hook-Up,510,19,45,253
stanton-arizona,Stanton,66,,30 Amp - Full Hook-Up,510,19,45,254
stanton-arizona,Stanton,67,,30 Amp - Full Hook-Up,510,19,45,255
stanton-arizona,Stanton,68,,30 Amp - Full Hook-Up,510,19,45,256
stanton-arizona,Stanton,69,,30 Amp - Full Hook-Up,510,19,45,257
stanton-arizona,Stanton,70,,30 Amp - Full Hook-Up,510,19,45,258
stanton-arizona,Stanton,71,Premium,50 Amp - Full Hook-Up,600,22,55,259
stanton-arizona,Stanton,73,Premium,50 Amp - Full Hook-Up,600,22,55,260
stanton-arizona,Stanton,75,Premium,50 Amp - Full Hook-Up,600,22,55,261
stanton-arizona,Stanton,77,,30 Amp - Full Hook-Up,510,19,45,262
stanton-arizona,Stanton,78,,30 Amp - Full Hook-Up,510,19,45,263
stanton-arizona,Stanton,79,,30 Amp - Full Hook-Up,510,19,45,264
stanton-arizona,Stanton,80,,30 Amp - Full Hook-Up,510,19,45,265
stanton-arizona,Stanton,81,,30 Amp - Full Hook-Up,510,19,45,266
stanton-arizona,Stanton,82,,30 Amp - Full Hook-Up,510,19,45,267
stanton-arizona,Stanton,83,,30 Amp - Full Hook-Up,510,19,45,268
